id,start,end
1000001,2016-01-04 10:00:00,2020-12-31 10:00:00
1000002,2016-07-06 10:00:00,2020-12-31 10:00:00
1000003,2016-01-04 10:00:00,2020-12-31 10:00:00
1000004,2016-01-04 10:00:00,2020-12-31 10:00:00
1000005,2016-01-04 10:00:00,2020-12-31 10:00:00
1000006,2016-07-19 10:00:00,2020-12-30 10:00:00
1000007,2016-01-04 10:00:00,2020-12-31 10:00:00
1000008,2016-01-04 10:00:00,2020-12-31 10:00:00
1000009,2016-01-04 10:00:00,2020-12-31 10:00:00
1000010,2016-01-04 10:00:00,2020-12-31 10:00:00
1000011,2016-01-04 10:00:00,2020-12-31 10:00:00
1000012,2016-01-04 10:00:00,2020-12-31 10:00:00
1000013,2016-01-04 10:00:00,2020-12-31 10:00:00
1000014,2016-01-04 10:00:00,2020-09-17 10:00:00
1000015,2016-01-04 10:00:00,2019-10-28 10:00:00
1000016,2016-01-04 10:00:00,2020-12-31 10:00:00
1000017,2016-01-04 10:00:00,2020-12-31 10:00:00
1000018,2016-01-04 10:00:00,2020-12-31 10:00:00
1000019,2016-01-04 10:00:00,2020-12-31 10:00:00
1000020,2016-04-22 10:00:00,2020-12-16 10:00:00
1000021,2016-01-04 10:00:00,2020-12-31 10:00:00
1000022,2016-01-04 10:00:00,2020-12-31 10:00:00
1000023,2016-01-04 10:00:00,2020-12-31 10:00:00
1000024,2016-01-04 10:00:00,2020-12-31 10:00:00
1000025,2016-03-25 10:00:00,2020-12-31 10:00:00
1000026,2016-01-04 10:00:00,2020-12-31 10:00:00
1000027,2016-01-04 10:00:00,2020-12-31 10:00:00
1000028,2016-01-04 10:00:00,2020-12-31 10:00:00
1000029,2016-01-04 10:00:00,2020-12-31 10:00:00
1000031,2016-04-19 10:00:00,2020-12-31 10:00:00
1000032,2016-02-18 10:00:00,2020-12-31 10:00:00
1000033,2016-01-04 10:00:00,2020-12-31 10:00:00
1000034,2016-01-04 10:00:00,2020-12-31 10:00:00
1000035,2016-06-23 10:00:00,2020-12-31 10:00:00
1000036,2016-01-04 10:00:00,2020-12-31 10:00:00
1000037,2016-01-04 10:00:00,2020-12-31 10:00:00
1000038,2016-01-04 10:00:00,2020-11-24 10:00:00
1000039,2016-01-04 10:00:00,2020-12-31 10:00:00
1000040,2016-01-04 10:00:00,2020-12-31 10:00:00
1000041,2016-01-04 10:00:00,2020-12-31 10:00:00
1000042,2016-01-04 10:00:00,2020-12-31 10:00:00
1000043,2016-01-04 10:00:00,2020-12-31 10:00:00
1000044,2016-01-04 10:00:00,2020-12-31 10:00:00
1000045,2016-01-04 10:00:00,2020-12-31 10:00:00
1000046,2016-01-04 10:00:00,2020-12-31 10:00:00
1000047,2016-02-26 10:00:00,2020-12-31 10:00:00
1000048,2016-01-04 10:00:00,2020-12-31 10:00:00
1000049,2016-01-04 10:00:00,2020-12-31 10:00:00
1000050,2016-01-04 10:00:00,2020-12-31 10:00:00
1000051,2016-01-04 10:00:00,2020-12-31 10:00:00
1000052,2016-01-04 10:00:00,2020-12-31 10:00:00
1000053,2016-03-16 10:00:00,2020-12-31 10:00:00
1000054,2016-03-16 10:00:00,2020-12-31 10:00:00
1000055,2016-01-04 10:00:00,2020-12-29 10:00:00
1000056,2016-01-04 10:00:00,2020-12-31 10:00:00
1000057,2016-01-04 10:00:00,2020-12-31 10:00:00
1000058,2016-01-04 10:00:00,2020-12-31 10:00:00
1000059,2016-01-04 10:00:00,2020-12-31 10:00:00
1000060,2016-01-04 10:00:00,2020-12-31 10:00:00
1000061,2016-01-04 10:00:00,2020-12-31 10:00:00
1000062,2016-01-04 10:00:00,2020-11-20 10:00:00
1000063,2016-01-04 10:00:00,2020-12-31 10:00:00
1000064,2016-01-04 10:00:00,2020-12-31 10:00:00
1000065,2016-01-04 10:00:00,2020-12-31 10:00:00
1000066,2016-01-04 10:00:00,2020-12-31 10:00:00
1000067,2016-04-25 10:00:00,2020-12-31 10:00:00
1000068,2016-01-08 10:00:00,2020-12-31 10:00:00
1000069,2016-01-04 10:00:00,2020-12-31 10:00:00
1000070,2016-01-04 10:00:00,2020-12-31 10:00:00
1000071,2016-01-04 10:00:00,2020-12-31 10:00:00
1000072,2016-01-04 10:00:00,2020-12-31 10:00:00
1000073,2016-01-04 10:00:00,2020-12-31 10:00:00
1000074,2016-01-04 10:00:00,2020-12-31 10:00:00
1000075,2016-01-04 10:00:00,2020-12-31 10:00:00
1000076,2016-01-04 10:00:00,2020-12-31 10:00:00
1000077,2016-01-04 10:00:00,2020-12-31 10:00:00
1000078,2016-01-04 10:00:00,2020-12-31 10:00:00
1000080,2016-01-04 10:00:00,2020-12-31 10:00:00
1000081,2016-01-04 10:00:00,2020-12-31 10:00:00
1000082,2016-01-04 10:00:00,2020-12-31 10:00:00
1000083,2016-01-04 10:00:00,2020-12-31 10:00:00
1000084,2016-01-04 10:00:00,2020-12-31 10:00:00
1000085,2016-01-04 10:00:00,2020-12-31 10:00:00
1000086,2016-01-04 10:00:00,2020-12-31 10:00:00
1000087,2016-01-04 10:00:00,2020-12-31 10:00:00
1000088,2016-01-04 10:00:00,2020-12-31 10:00:00
1000089,2016-01-04 10:00:00,2019-05-06 10:00:00
1000090,2016-01-04 10:00:00,2020-12-31 10:00:00
1000091,2016-01-04 10:00:00,2020-12-31 10:00:00
1000092,2016-01-04 10:00:00,2020-12-31 10:00:00
1000093,2016-01-04 10:00:00,2019-11-27 10:00:00
1000094,2016-01-04 10:00:00,2020-12-31 10:00:00
1000095,2016-01-04 10:00:00,2020-12-31 10:00:00
1000096,2016-03-21 10:00:00,2020-12-31 10:00:00
1000097,2016-01-04 10:00:00,2020-12-31 10:00:00
1000098,2016-01-04 10:00:00,2020-12-31 10:00:00
1000099,2016-01-18 10:00:00,2020-12-31 10:00:00
1000100,2016-01-04 10:00:00,2020-12-31 10:00:00
1000101,2016-01-04 10:00:00,2020-12-31 10:00:00
1000102,2016-01-04 10:00:00,2020-12-31 10:00:00
1000103,2016-01-04 10:00:00,2020-12-31 10:00:00
1000104,2016-01-04 10:00:00,2020-12-31 10:00:00
1000105,2016-01-04 10:00:00,2020-10-15 10:00:00
1000106,2016-01-04 10:00:00,2020-12-31 10:00:00
1000107,2016-01-04 10:00:00,2020-12-31 10:00:00
1000108,2016-01-04 10:00:00,2020-12-31 10:00:00
1000109,2016-01-04 10:00:00,2020-12-31 10:00:00
1000110,2016-01-04 10:00:00,2020-12-31 10:00:00
